Entity;Code;Year;Deaths - Meningitis - Sex: Both - Age: All Ages (Number);Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number);Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number);Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number);Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number)
United Kingdom;GBR;2019;265;233;390;188113;22
United States;USA;2019;1146;7053;978;957455;131
United States Virgin Islands;VIR;2019;0;8;1;501;0
Uruguay;URY;2019;14;177;56;10003;1
Uzbekistan;UZB;2019;175;585;2445;107394;130
Vanuatu;VUT;2019;6;19;41;869;3
Venezuela;VEN;2019;254;1850;826;61510;21
Vietnam;VNM;2019;747;6399;18681;240161;674
Wales;;2019;14;12;20;10519;1
Western Pacific Region (WHO);;2019;11158;51226;104584;5709784;5355
World;OWID_WRL;2019;236222;863837;1179766;18562510;79176
World Bank High Income;;2019;4052;13795;15849;3525196;757
World Bank Low Income;;2019;81439;247763;271887;792037;11692
World Bank Lower Middle Income;;2019;132489;338846;793679;6291011;60419
World Bank Upper Middle Income;;2019;18104;262649;97819;7943909;6276
Yemen;YEM;2019;479;347;1029;55752;523
Zambia;ZMB;2019;2065;22540;7056;18157;263
Zimbabwe;ZWE;2019;1450;20722;10465;17810;136
