Entity;Code;Year;Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 70+ years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 5-14 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 15-49 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: 50-69 years (Rate);Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Rate)
Samoa;WSM;2019;3,01;7,36;0,58;8,68;11,18;6,37
San Marino;SMR;2019;0,29;1,79;0,02;1,86;3,72;2,03
Sao Tome and Principe;STP;2019;0,06;0,11;0,01;0,2;0,25;0,14
Saudi Arabia;SAU;2019;1,09;1,53;0,15;2,14;3,18;1,91
Scotland;;2019;0,11;0,05;0,03;0,57;0,51;0,4
Senegal;SEN;2019;2,59;9,28;1,8;14,57;27,87;10,59
Serbia;SRB;2019;0,68;0,15;0,08;0,69;0,66;0,55
Seychelles;SYC;2019;0,76;2,22;0,26;4,62;6,23;3,93
Sierra Leone;SLE;2019;3,38;26,38;4,77;52,07;72,04;33,78
Singapore;SGP;2019;0,05;0,35;0,02;0,6;1,13;0,64
Slovakia;SVK;2019;0,15;0,02;0,01;0,09;0,08;0,08
Slovenia;SVN;2019;0,1;0;0,02;0,15;0,11;0,1
Solomon Islands;SLB;2019;4,34;8,65;0,63;8,71;10,05;6,19
Somalia;SOM;2019;9,61;13,17;3,11;23,17;37,15;15,67
South Africa;ZAF;2019;37,54;147,88;35,99;334,41;419,72;258,78
South Asia (WB);;2019;1,55;0,49;0,26;3,95;3,49;2,81
South Korea;KOR;2019;0,09;0,26;0,02;0,19;0,47;0,26
South Sudan;SSD;2019;12,25;38,18;5,56;75,71;108,38;47,3
South-East Asia Region (WHO);;2019;1,99;1,47;0,32;5,05;5,19;3,81
Spain;ESP;2019;0,19;0,2;0,06;2,01;2,04;1,48
Sri Lanka;LKA;2019;0,28;0,04;0,02;0,22;0,18;0,17
Sub-Saharan Africa (WB);;2019;23,56;53,22;8,22;80,82;149,33;57,53
Sudan;SDN;2019;2,11;9,5;0,81;19,1;26,89;12,63
Suriname;SUR;2019;4,25;6,05;1,01;24,96;21,57;17,44
Sweden;SWE;2019;0,06;0,04;0,02;0,23;0,38;0,2
Switzerland;CHE;2019;0,06;0,16;0,02;0,51;0,62;0,42
Syria;SYR;2019;0,16;0,01;0,01;0,13;0,09;0,1
Taiwan;TWN;2019;0,14;0,31;0,03;0,89;0,87;0,72
Tajikistan;TJK;2019;0,12;0,07;0,01;0,95;1;0,63
Tanzania;TZA;2019;14,29;43,4;8,15;68,91;129,47;47,81
Thailand;THA;2019;5,82;14,55;0,11;28,87;32,58;24,55
Timor;TLS;2019;25,87;28,53;2,71;19,16;33,93;17,8
Togo;TGO;2019;10,4;35,67;7,32;59,12;115,08;43,52
Tokelau;TKL;2019;2,92;4,3;0,45;12,44;12,35;8,39
Tonga;TON;2019;1,19;1,96;0,19;2,34;3,19;1,8
Trinidad and Tobago;TTO;2019;2,69;1,72;0,83;21,55;16,16;14,88
Tunisia;TUN;2019;0,85;0,71;0,05;1,62;1,66;1,28
Turkey;TUR;2019;0,42;0,23;0,02;0,29;0,4;0,28
Turkmenistan;TKM;2019;0,13;0;0,04;3,79;0,57;2,07
Tuvalu;TUV;2019;2,75;4,52;0,44;11,66;11,55;8,3
Uganda;UGA;2019;25,05;45,43;12,34;72,74;136,61;50,49
Ukraine;UKR;2019;1,03;0,04;0,2;26,94;8,68;15,08
United Arab Emirates;ARE;2019;0,75;77,2;0,07;1,56;1,65;1,73
United Kingdom;GBR;2019;0,13;0,05;0,03;0,44;0,54;0,35
United States;USA;2019;0,14;0,6;0,04;2,24;4,21;2,15
United States Virgin Islands;VIR;2019;0,61;3,37;0,26;9,65;11,27;7,56
Uruguay;URY;2019;0,17;4,69;0,09;6,28;7,77;5,16
Uzbekistan;UZB;2019;0,16;0,05;0,17;2,77;1,39;1,74
Vanuatu;VUT;2019;3,86;12,64;0,61;8,85;10,73;6,46
Venezuela;VEN;2019;1,01;2,35;0,36;8,97;9,46;6,59
Vietnam;VNM;2019;0,07;0,16;0,01;11,1;2,78;6,64
Wales;;2019;0,11;0,05;0,03;0,57;0,43;0,37
Western Pacific Region (WHO);;2019;1,63;2,29;0,32;3,19;2,97;2,65
World;OWID_WRL;2019;7,38;3,66;2,12;14,94;13,23;11,16
World Bank High Income;;2019;0,17;0,28;0,04;1,34;1,95;1,15
World Bank Low Income;;2019;20,63;27,15;7,43;47,94;80,34;35,05
World Bank Lower Middle Income;;2019;6,57;3,93;1,37;14,15;15,7;10,66
World Bank Upper Middle Income;;2019;3;4,6;1,38;13,24;10,73;9,92
Yemen;YEM;2019;1,94;0,84;0,09;1,33;1,7;1,1
Zambia;ZMB;2019;107,18;116,9;19,58;157,67;333,02;123,59
Zimbabwe;ZWE;2019;66,07;141,12;34,29;168,22;400,92;138,05
