Entity;Code;Year;Human Development Index
Uganda;UGA;2019;0,525
Ukraine;UKR;2019;0,786
United Arab Emirates;ARE;2019;0,92
United Kingdom;GBR;2019;0,935
United States;USA;2019;0,93
Uruguay;URY;2019;0,821
Uzbekistan;UZB;2019;0,726
Vanuatu;VUT;2019;0,611
Venezuela;VEN;2019;0,721
Very high human development (UNDP);;2019;0,902
Vietnam;VNM;2019;0,703
World;OWID_WRL;2019;0,739
Yemen;YEM;2019;0,461
Zambia;ZMB;2019;0,575
Zimbabwe;ZWE;2019;0,601
