name,population,code,development_index,continent
Singapore,5866408,SGP,"0,943",Asia
Slovakia,5453932,SVK,"0,862",Europe
Slovenia,2112905,SVN,"0,921",Europe
Somalia,15981312,SOM,,Africa
Spain,47131372,ESP,"0,908",Europe
Sudan,43232092,SDN,"0,514",Africa
Suriname,600305,SUR,"0,755",Americas
Sweden,10267922,SWE,"0,947",Europe
Switzerland,8575593,CHE,"0,962",Europe
Syria,20098252,SYR,"0,584",Asia
Taiwan,23777742,TWN,,Asia
Tajikistan,9337008,TJK,"0,676",Asia
Tanzania,59872584,TZA,"0,548",Africa
Thailand,71307770,THA,"0,804",Asia
Timor,1280442,TLS,"0,614",Asia
Togo,8243093,TGO,"0,535",Africa
Tokelau,1775,TKL,,Oceania
Tonga,104965,TON,"0,744",Oceania
Tunisia,12049319,TUN,"0,745",Africa
Turkey,83481690,TUR,"0,842",Asia
Turkmenistan,6158424,TKM,"0,742",Asia
Tuvalu,10983,TUV,"0,635",Oceania
Uganda,42949076,UGA,"0,525",Africa
Ukraine,44211100,UKR,"0,786",Europe
Uruguay,3428412,URY,"0,821",Americas
Uzbekistan,32976946,UZB,"0,726",Asia
Vanuatu,304414,VUT,"0,611",Oceania
Venezuela,28971686,VEN,"0,721",Americas
Vietnam,95776710,VNM,"0,703",Asia
World,7764951000,OWID_WRL,"0,739",
Yemen,31546694,YEM,"0,461",Asia
Zambia,18380478,ZMB,"0,575",Africa
Zimbabwe,15354606,ZWE,"0,601",Africa
